Bug ID,Key,Summary,Fix Versions,Affected Versions,Commit ID,File Paths
13587925,HIVE-28436,Incorrect syntax in Hive schema file for table MIN_HISTORY_LEVEL,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13587777,HIVE-28431,Fix RexLiteral to ExprNode conversion if the literal is an empty string,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13587519,HIVE-28421,Iceberg: mvn test can not run UTs in iceberg-cacatlog,4.1.0,N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13587425,HIVE-28420,Incorrect URL to Hive mailing lists in HowToContribute Wiki page,Not Applicable,N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13587196,HIVE-28416,Another process is rebuilding the materialized view is thrown for subsequent MV rebuilds when the current MV rebuild is aborted for the same MV.,4.1.0,N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13587026,HIVE-28409,Column lineage when creating view is missing if atlas HiveHook is set,4.1.0,N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13586919,HIVE-28404,Fix typo Overriden to Overridden,4.1.0,N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13586100,HIVE-28374,Iceberg: Handle change of default format-version,4.1.0,N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13585573,HIVE-28369,LLAP proactive eviction fails with NullPointerException,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13585432,HIVE-28368,Iceberg: Unable to read PARTITIONS Metadata table,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
